                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1074,                 4.3981,                 1.3059,                0.18586,                0.21538,                0.12059,                0.09215,                0.91691,                 3.6807,                 1.1577,                 0.0964,                 0.0004,                 0.0004
                      1,                 1.1908,                 4.2085,                 1.3538,                0.43175,                0.17692,                0.18142,                0.15761,                0.91735,                 3.3326,                 1.1561,               0.091882,             0.00088218,             0.00088218
                      2,                 1.1417,                 3.1651,                 1.3624,                0.55323,                0.62669,                0.61929,                0.47557,                0.82226,                 2.0947,                 1.1048,               0.087345,              0.0013446,              0.0013446
                      3,                0.98734,                 1.9344,                 1.2642,                0.68902,                0.59615,                0.63273,                0.47658,                0.79461,                 2.1412,                 1.0739,               0.082787,              0.0017871,              0.0017871
                      4,                0.91966,                  1.679,                 1.1899,                0.68834,                0.58077,                0.63874,                0.45825,                0.97913,                 1.5956,                 1.2262,                0.07821,              0.0022099,              0.0022099
                      5,                0.95033,                 1.5607,                 1.2461,                0.79848,                0.60769,                0.70763,                0.50078,                0.91425,                 1.4729,                 1.1654,               0.073613,              0.0026129,              0.0026129
                      6,                0.98219,                 1.3454,                 1.2463,                0.66669,                0.60769,                 0.5774,                0.42787,                 1.0722,                  1.729,                 1.2735,               0.068996,              0.0029961,              0.0029961
                      7,                 1.0191,                  1.314,                 1.2336,                 0.7274,                0.68462,                 0.6754,                0.49947,                 1.0169,                 1.3652,                 1.1741,               0.064359,              0.0033595,              0.0033595
                      8,                0.82454,                 1.0814,                 1.1321,                0.52256,                0.53077,                0.48518,                0.37106,                 1.0676,                 2.0713,                 1.3248,               0.059703,               0.003703,               0.003703
                      9,                0.84845,                0.94367,                 1.1713,                0.53867,                0.41538,                0.44206,                0.35325,                 1.0663,                 2.1495,                 1.3114,               0.055027,              0.0040268,              0.0040268
